skillType,preferredLabel,relationType,altLabels,occupationUri,skillUri
skill/competence,draft scientific or academic papers and technical documentation,essential,"write scientific and academic papers
write technical documentation
create technical documentation and academic writings
create technical documentation",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f
skill/competence,manage ICT data classification,optional,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d
knowledge,mathematical modelling,essential,"mathematical simulation
mathematical representation
mathematical computation",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8
skill/competence,normalise data,essential,"prepare data
normalize data
perform data pre-processing",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc
knowledge,computer simulation,optional,computer-based simulation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f
skill/competence,manage research data,essential,"administer research data
handle research data
oversee scientific data",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d
knowledge,marketing analytics,optional,marketing data analytics,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/11c56452-fcec-4b00-9695-cca4728e5048
knowledge,business intelligence,optional,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c
skill/competence,use spreadsheets software,optional,"use spreadsheets program
Calligra Sheets
Myrtle
Quantrix Modeler
Sphygmic Software Spreadsheet
OxygenOffice Professional Calc
IBM Lotus Symphony Spreadsheets
Corel Calculate
OOo4Kids Calc
Lotus Improv
Zoho Sheet
Simple Spreadsheet
Household Budget Worksheet
ThinkFree Office Calc
ResolverOne
DhtmlxSpreadsheet
Gnumeric
design spreadsheets
CellPro
Ability Office Spreadsheet
QT Calc Express
Dolphinity Planner
Microsoft Office Excel
PlanMaker
Accel Spreadsheet
Kingsoft Spreadsheet
wikiCalc
Sheetster
Google Sheets
Lotus 1-2-3
LibreOffice Calc",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be
skill/competence,use data processing techniques,essential,"use a data processing technique
gather and analyse data
utilize data processing techniques
make use of data processing techniques
apply data processing technique",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/1b70a55d-b8a4-49fc-96c6-15ab4cff2522
knowledge,MDX,optional,MultiDimensional eXpressions,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/1b7c716e-af95-4cda-a42f-6479c8b139f5
skill/competence,interpret current data,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/1e77e42a-181f-4b48-8e74-201ce50ffc29
skill/competence,interact professionally in research and professional environments,essential,"interact appropriately in research and professional spheres
interact considerately in research and professional spheres
give feedback in a professional setting
receive feedback in a professional setting
show collegiality in research and professional environments",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0
knowledge,data mining,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180
skill/competence,disseminate results to the scientific community,essential,"disseminate results of scientific research
disseminate findings of scientific research
disclose findings of scientific research
disclose scientific results
disseminate scientific results",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1
skill/competence,operate open source software,essential,"manage open-source software
know open-source software coding practices
know open-source licensing schemes
know open-source software licensing schemes
know open-source coding practices",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6
skill/competence,establish data processes,essential,"implement data processes
develop data processes",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/2daec0e6-f0c1-43e8-8178-aedba99130ec
skill/competence,speak different languages,essential,"speak a different language
communicate in multiple languages
speak foreign languages",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac
skill/competence,execute analytical mathematical calculations,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/31c69100-b612-4a61-8db5-fd314318854c
knowledge,social network analysis,optional,social network analysis methods,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/33e584f9-ff7a-4979-bfc0-5a3a374a145a
knowledge,visual presentation techniques,essential,"visualization interface
visual presentation techniques
Infoviz
Infovis
information visualization
information visualisation",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/348b74cd-49ce-4844-8bdf-ec188b497213
skill/competence,evaluate research activities,essential,"assess research results
assess research methodology
perform scholarly peer review",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9
knowledge,XQuery,optional,XQuery language,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/3f4dab51-572b-4e2c-85ef-3b4c3f7094e1
skill/competence,demonstrate disciplinary expertise,essential,"demonstrate deep knowledge of a specific research area
demonstrate complex understanding of a specific research area
demonstrate deep knowledge of a research area
exhibit academic proficiency
demonstrate complex understanding of a research area",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db
skill/competence,perform data mining,optional,"mine data
use model data",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278
skill/competence,use databases,essential,"use database software
make use of databases
able to use using databases
use data bases
utilise databases
apply databases
use Dbs
use database
use database management systems",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1
knowledge,image recognition,optional,"image detection
visual recognition
visual detection
image interpretation",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/45f1ae17-c20d-40fc-9307-7d33b6ca9213
skill/competence,integrate ICT data,optional,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/46ec0033-3c71-415e-bcff-b065675ba2dc
knowledge,data engineering,essential,data engineering methods,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639
skill/competence,handle data samples,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4a193795-fa63-414e-9f2e-bfdb3924571e
skill/competence,teach in academic or vocational contexts,optional,"teach students in academic or vocational contexts
provide instruction in academic or vocational domains
instruct in educational or vocational settings",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83
skill/competence,increase the impact of science on policy and society,essential,"boost the contribution of science to shaping policies and society
influence decision making based on scientific evidence
enhance the impact of science influence on policy and society
enhance the influence of science on governance and communities",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4d39b27a-b34f-4c89-8d46-df844d42f728
