skillType,preferredLabel,relationType,altLabels,occupationUri,skillUri
knowledge,incremental development,optional,gradual development,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876
skill/competence,create solutions to problems,optional,"create solution to problems
conceive  solutions to problems
creating solutions to problems
devise solutions to problems
formulate solutions to problems
come up with solutions to problems
create solutions",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041
knowledge,systems development life-cycle,optional,application development life-cycle,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575
knowledge,Agile project management,optional,"Agile management software
Agile project management",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4
skill/competence,coach employees,essential,"coach employees for performance
train staff to improve performance
employee coaching
train employees to improve performance
coach staff",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/0cc9c234-f817-4f4c-908a-4d28fe3b0f4a
knowledge,internal risk management policy,essential,risk management internal policy,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/0daaf096-1639-461c-bf1a-bbeea77e6b67
skill/competence,apply conflict management,essential,"utilise conflict management
conflict management application
administer conflict management
employ conflict management
applying conflict management
implement conflict management
application of conflict management",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342
skill/competence,develop information standards,optional,"set norms for information management
develop norms for information management
set information standards
develop standards for information
settle information standards
develop standards for information management",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/1b3fc0e0-c6f9-45fc-9c6e-14bbba662979
skill/competence,perform risk analysis,essential,"complete  risk analysis
finish  risk analysis
performing a  risk analysis
perform a risk analysis
implement  risk analysis
risk analysis performance
undertake  risk analysis",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/1dd23dba-dd00-45ab-abf4-642902538317
skill/competence,carry out project activities,optional,"execute project tasks
develop project activities
assist in projects development",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/1fcce318-3212-487a-ac07-4941bc85060d
skill/competence,manage budgets,essential,"handle operational budgets
manage operational budget
maintain operational budgets
manage operation budgets
oversee operational budgets
budget set costs
 estimate set costs
approximate set costs",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/21c5790c-0930-4d74-b3b0-84caf5af12ea
skill/competence,create project specifications,essential,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead
skill/competence,manage project information,essential,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/22902bf9-cc3f-495b-811a-c441e28e23f6
