skillType,preferredLabel,relationType,altLabels,occupationUri,skillUri
knowledge,Haskell,optional,Haskell techniques,http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02
knowledge,Erlang,optional,"",http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386
knowledge,SAS language,optional,"",http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93
skill/competence,use an application-specific interface,essential,"application-specific interface operating
application-specific interface using
operate an application-specific interface
use an interface specific to the application
using an application-specific interface
operating an interface specific to the application
operating an application-specific interface
using an interface specific to the application
operate an interface specific to the application",http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9
knowledge,systems development life-cycle,essential,application development life-cycle,http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575
knowledge,Agile project management,optional,"Agile management software
Agile project management",http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4
skill/competence,use markup languages,optional,"use XHTML
use mark-up languages
use HTML",http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26
knowledge,Ruby (computer programming),optional,Ruby,http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3
knowledge,Common Lisp,optional,"",http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871
knowledge,Apache Maven,optional,Maven,http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306
knowledge,Lisp,optional,"",http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220
